Year,Month,Department,Revenue
2022,September,Operations,201355.6
2022,October,Sales,467593.94
2022,October,Marketing,324835.79
2022,October,R&D,305340.02
2022,October,HR,181765.86
2022,October,Operations,108790.23
2022,November,Sales,489177.9
2022,November,Marketing,239573.22
2022,November,R&D,238362.02
2022,November,HR,303938.83
2022,November,Operations,478835.44
2022,December,Sales,87576.62
2022,December,Marketing,96000.66
2022,December,R&D,487396.05
2022,December,HR,379189.24
2022,December,Operations,440473.42
2023,January,Sales,220259.53
2023,January,Marketing,184962.47
2023,January,R&D,191107.09
2023,January,HR,234647.3
2023,January,Operations,269103.76
2023,February,Sales,295855.01
2023,February,Marketing,287564.06
2023,February,R&D,236740.99
2023,February,HR,167959.33
2023,February,Operations,144685.08
2023,March,Sales,439031.45
2023,March,Marketing,162396.73
2023,March,R&D,380041.18
2023,March,HR,241550.03
2023,March,Operations,411987.63
2023,April,Sales,62022.64
2023,April,Marketing,358448.48
2023,April,R&D,438710.22
2023,April,HR,150929.36
2023,April,Operations,497376.93
2023,May,Sales,315275.0
2023,May,Marketing,174736.12
2023,May,R&D,400559.32
2023,May,HR,464689.59
2023,May,Operations,96941.35
2023,June,Sales,449055.58
2023,June,Marketing,395315.34
2023,June,R&D,230206.4
2023,June,HR,474076.74
2023,June,Operations,367354.33
2023,July,Sales,407768.99
2023,July,Marketing,83878.81
2023,July,R&D,99297.33
2023,July,HR,131863.7
2023,July,Operations,149773.94
2023,August,Sales,300979.81
2023,August,Marketing,138254.82
2023,August,R&D,170010.02
2023,August,HR,54934.06
2023,August,Operations,444148.72
2023,September,Sales,110493.7
2023,September,Marketing,234734.29
2023,September,R&D,223308.06
2023,September,HR,257652.06
2023,September,Operations,393722.43
2023,October,Sales,177547.27
2023,October,Marketing,276223.73
2023,October,R&D,288501.42
2023,October,HR,301488.58
2023,October,Operations,137551.01
2023,November,Sales,322618.09
2023,November,Marketing,238187.76
2023,November,R&D,229378.97
2023,November,HR,148736.17
2023,November,Operations,136700.27
2023,December,Sales,275613.88
2023,December,Marketing,417145.46
2023,December,R&D,170414.26
2023,December,HR,242008.65
2023,December,Operations,494525.58
2024,January,Sales,112430.98
2024,January,Marketing,253047.52
2024,January,R&D,148514.91
2024,January,HR,414242.17
2024,January,Operations,383684.92
2024,February,Sales,55438.52
2024,February,Marketing,220523.02
2024,February,R&D,145896.61
2024,February,HR,194198.78
2024,February,Operations,423237.27
2024,March,Sales,140358.12
2024,March,Marketing,481322.25
2024,March,R&D,76033.68
2024,March,HR,488661.8
2024,March,Operations,297758.54
2024,April,Sales,313627.81
2024,April,Marketing,436205.04
2024,April,R&D,428547.24
2024,April,HR,449432.66
2024,April,Operations,267864.76
2024,May,Sales,64799.33
2024,May,Marketing,429010.16
2024,May,R&D,299613.12
2024,May,HR,142257.74
2024,May,Operations,285424.02
2024,June,Sales,405206.93
2024,June,Marketing,325818.99
2024,June,R&D,144178.68
2024,June,HR,490287.42
2024,June,Operations,318375.86
2024,July,Sales,51799.35
2024,July,Marketing,348791.47
2024,July,R&D,237690.78
2024,July,HR,252898.61
2024,July,Operations,369213.69
2024,August,Sales,56013.91
2024,August,Marketing,170166.31
2024,August,R&D,222325.99
2024,August,HR,280396.16
2024,August,Operations,491449.84
2024,September,Sales,173099.33
2024,September,Marketing,177466.4
2024,September,R&D,171027.54
2024,September,HR,231699.2
2024,September,Operations,431431.78
2024,October,Sales,197934.24
2024,October,Marketing,302668.68
2024,October,R&D,123909.8
2024,October,HR,265485.9
2024,October,Operations,300111.44
2024,November,Sales,284900.95
2024,November,Marketing,149109.5
2024,November,R&D,315568.52
2024,November,HR,416630.49
2024,November,Operations,68374.41
2024,December,Sales,421421.87
2024,December,Marketing,128320.3
2024,December,R&D,194269.2
2024,December,HR,278291.15
2024,December,Operations,324272.62
2025,January,Sales,497999.29
2025,January,Marketing,254145.37
2025,January,R&D,246908.18
2025,January,HR,354895.97
2025,January,Operations,373566.11
2025,February,Sales,215203.7
2025,February,Marketing,122670.59
2025,February,R&D,136830.52
2025,February,HR,186849.96
2025,February,Operations,105739.48
2025,March,Sales,89554.37
2025,March,Marketing,325829.84
2025,March,R&D,444655.83
2025,March,HR,117206.93
2025,March,Operations,75409.56
2025,April,Sales,497587.39
2025,April,Marketing,259883.87
2025,April,R&D,469927.89
2025,April,HR,199919.6
2025,April,Operations,98929.9
2025,May,Sales,248198.25
2025,May,Marketing,465866.57
2025,May,R&D,420474.78
2025,May,HR,115008.04
2025,May,Operations,75994.35
2025,June,Sales,232345.75
2025,June,Marketing,437857.67
2025,June,R&D,259966.66
2025,June,HR,225934.29
2025,June,Operations,376128.18
2025,July,Sales,252275.4
2025,July,Marketing,87577.74
2025,July,R&D,226483.97
2025,July,HR,187818.0
2025,July,Operations,458962.47
2025,August,Sales,435951.01
2025,August,Marketing,463562.37
2025,August,R&D,86007.54
2025,August,HR,485398.88
2025,August,Operations,403922.26
2025,September,Sales,212407.39
2025,September,Marketing,335176.38
2025,September,R&D,205913.69
2025,September,HR,494895.69
2025,September,Operations,340212.38
2025,October,Sales,330264.4
2025,October,Marketing,252243.86
2025,October,R&D,441886.05
2025,October,HR,474315.22
2025,October,Operations,83248.0
2025,November,Sales,175486.71
2025,November,Marketing,290028.44
2025,November,R&D,253957.37
2025,November,HR,257309.2
2025,November,Operations,170548.07
2025,December,Sales,183203.93
2025,December,Marketing,397322.49
2025,December,R&D,499414.87
2025,December,HR,58189.6
2025,December,Operations,222198.07
